amazon_ranking,channel_name,apk_id
0,tubi tv,com.tubitv.ott
1,hbo go,com.HBO
2,cbs,com.cbs.ott
3,hbo now,com.hbo.hbonow
4,nbc,com.onemainstream.nbcunivers.android
5,pluto tv,tv.pluto.android
6,the cw,com.cw.tv.android
7,amc,com.amctve.amcfiretv
8,fox now,com.fox.now
9,abc,com.disney.datg.videoplatforms.android.amazon.kindle.abc
10,starz,com.starz.starzplay.firetv
11,history,com.aetn.history.watch
12,playstation vue,com.snei.vue.firetv
13,tnt,com.turner.tnt.android.networkapp
14,boomerang,com.dramafever.boom_hybrid
15,videos for youtube,com.kyy.tubevideos
16,philo,com.philo.philo
17,xumo,com.xumo.xumo.tv
18,player,com.tube8
19,cartoon network,com.turner.cnvideoapp
20,showtime anytime,com.showtime.showtimeanytime
21,nick,com.nickonline.android.nickapp
22,epix now,com.epixnow.firetvapp
23,a e,com.aetn.aetv.watch
24,showtime,com.showtime.standalone
25,youtube,org.chromium.youtube_apk
26,tbs,com.turner.tbs.android.networkapp
27,lifetime,com.aetn.lifetime.watch
28,hulu,com.hulu.plus
29,freeform,com.disney.datg.videoplatforms.android.amazon.kindle.abcf
30,mtv,com.mtvn.mtvPrimeAndroid
31,usa,com.amazon.webapps.nbc.usa
32,syfy,com.amazon.webapps.nbc.syfy
33,disneynow,com.disney.datg.videoplatforms.android.amazon.kindle.watchdc
34,bbc america,com.bbca.firetv
35,stirr,com.sbgtv.stirr.amazon
36,movies anywhere,com.moviesanywhere.ama
37,sundance tv,com.sundancetv.firetv
38,vh1,com.mtvn.vh1android
39,bravo,com.amazon.webapps.nbc.bravo
40,tlc go,com.discovery.firetv.tlcgo
41,fxnow,com.fxnetworks.fxnow
42,discovery go,com.discovery.firetv.dscgo
43,hgtv,tv.accedo.hgtv
44,comedy central,com.vmn.android.comedycentral
45,bet now,com.bet.shows
46,bigstarmovies,com.bigstar.movie
47,twitch,tv.twitch.android.viewer
48,wwe,com.mlbam.wwe_asb_app
49,id go,com.discovery.firetv.idsgo
50,plex,com.plexapp.android
51,adult swim,com.adultswim.firetv
52,sling tv,com.sling
53,amazing classics,stormcastcinema.amazing.classics
54,food network,tv.accedo.foodnetwork
55,hallmark channel,com.hallmarkchannel.tv
56,e,com.amazon.webapps.nbc.e
57,hallmark,com.feeln.androidapp
58,pbs,com.pbs.video
59,at t watchtv,com.att.tv.watchtv
60,hd video for youtube,com.kyy.desktoptube
61,dc universe,com.wb.amzn.dcuniverse
62,directv now,com.att.tv
63,airscreen,com.ionitech.airscreen
64,nat geo tv,com.natgeo.tv
65,trutv,com.turner.truTV
66,own,com.own.firetv.owntve
67,tube for youtube,com.kyy.tube
68,blackworldcinema,blackcinema.bigstar.tv
69,we tv,com.wetv.firetv
70,animal planet,com.discovery.firetv.aplgo
71,western mania,stormcastcinema.westernmania
72,telemundo,com.amazon.webapps.nbc.telemundo
73,criterion,com.criterionchannel
74,allcast receiver,com.koushikdutta.cast.receiver
75,tcm,com.tcm.apps.tv
76,sony crackle movies tv,com.gotv.crackle.handset
77,travel channel,tv.accedo.travelchannel
78,cw seed,com.cwseed.tv.android
79,funimationnow,com.Funimation.FunimationNow.firetv
80,vrv,com.ellation.vrv
81,oxygen,com.amazon.webapps.nbc.oxygen
82,dish anywhere,com.sm.SlingGuide.Dish
83,hotstar,in.startv.hotstar
84,pureflix,com.rollingstorm.pureflixFTV
85,viki,com.viki.kindle
86,popcornflix,tv.clasp.firetv
87,diy network,tv.accedo.diy
88,filmrise sci fi,com.future.filmrisescifi
89,airtv,net.airtv
90,acorn tv,com.amazon.rialto.cordova.webapp.webapp03147576921f40378cbc1cc7db4af8b8
91,allconnect firetv,com.tuxera.streambels.receiver
92,at t u verse,com.att.labs.uversetv.android.tablet
93,flix premiere,com.amazon.rialto.cordova.webapp.webappd7d7d5eb1634479abcb52eee08afe810
94,iwebtv player,com.swishly.webtv.fireosplayer
95,tubeplus,com.ihanghai.boxtube
96,cooking channel,tv.accedo.cookingchannel
97,movies by fawesome tv,com.future.moviesByFawesomeAndroidTV
98,brown sugar,com.brownsugar.apps.svod
99,epix,com.amazon.rialto.cordova.webapp.webappebaff62698e4422da601235d5a704f45
100,247horror,horror.bigstar.tv
101,motor trend ondemand,com.motortrendondemand.firetv
102,red bull tv,com.redbull.rbtv
103,science go,com.discovery.firetv.scigo
104,martial arts and kung fu movie channel,com.martial.arts.and.kung.fu.movies
105,shudder,com.onemainstream.shudderprod.android
106,netflix,com.netflix.ninja
107,ifc,com.ifc.firetv
108,reelz,com.brightcoveps.reelz.androidtv
109,247comedy,firetv.bigstartv.comedy
110,filmrise free movies tv,com.future.filmrise
111,vimeo,com.vimeo.android.tv
112,sundance now,com.onemainstream.docclubtes.android
113,snagfilms,air.com.snagfilms
114,player,com.liveplayer
115,urban movie channel,com.amazon.rialto.cordova.webapp.webapp29771723480a4f05a4afd07b0a7add95
116,nettv plus,vlaf.android.player.nettv
117,zeus,com.thezeusnetwork.firetv
118,cartoon lane,stormcastcinema.cartoonlane
119,tbn,tbn_firetv.android
120,tpg westernflix,com.amazon.rialto.webapp.A60e69d715cb9acf62994fcad68f7837303161488
121,locast,com.tvapp.locast
122,wicked horror tv,com.thunderroad.wickedhorrortv
123,dailymotion,com.dailymotion.dailymotion
124,smithsonian,com.onemainstream.smithsonia.android
125,247drama,firetv.bigstartv.drama
126,byutv for fire tv,com.ratio.ratiotv.firetv.byutv
127,historyhit tv,com.historyhit
128,yahoo,com.amazon.rialto.cordova.webapp.webapp5fe0c357499c4d77919182e6455c0714
129,player,com.tube9
130,azteca,com.azteca.aztecatv
131,mytv,com.hauppauge.hauppaugemytv
132,fitzytv,com.fitzytv.android
133,destination america,com.discovery.firetv.damgo
134,velocity go,com.discovery.firetv.velgo
135,the movie channel,com.amazon.rialto.cordova.webapp.webapp0f0e28b923a64e23bf70b0180d1d0fe0
136,kanopy,com.kanopy.tvapp
137,the film detective,com.thefilmdetective.firetv
138,bookmarker for the roku channel,com.esaba.bookmarkerrk
139,discovery en espa ol,com.discovery.firetv.desgo
140,halloween flix,com.amazon.rialto.cordova.webapp.webapp194d686d82114e45b177ff262967ca84
141,daystar tv,com.amazon.rialto.cordova.webapp.webappe31e7be41071458087ef6cbb8b9f9a39
142,hdhomerun,com.silicondust.view
143,hungama play,com.hungama.movies
144,erosnow,com.eros.now
145,localcast on fire,de.stefanpledl.localcastreceiver
146,jw broadcasting,com.amazon.rialto.cordova.webapp.webapp77de0d87e08947b7a1c2a37cbd056e1b
147,tvfplay,com.tvf.tvfplay.fire
148,cordless cable,com.amazon.rialto.cordova.webapp.webapp305d5e85ba6943538f957b26e6e5cc07
149,asiancrush,com.dmr.asiancrush.tv
150,frightpix,net.screenmedia.popcornflix.frightpix.firetv
151,real stories,com.realstories.android
152,filmrise free tv,com.future.filmrisefreetv
153,filmrise western,com.future.filmrisewest
154,filmrise true crime,com.future.filmrisecrime
155,yuyu,com.dmr.yuyu.tv
156,rural tv,com.amazon.rialto.cordova.webapp.webapp6a6a5ccebfce4abf9350a1bb6023b2ae
157,hooq,tv.hooq.android
158,yupptv,com.yupptv.firetv
159,247 love stories,firetv.bigstartv.love
160,altbalaji,com.balaji.alt
161,hotlist,com.amazon.rialto.cordova.webapp.webapp062a82c7f12c41e69ca5f1050b1cca66
162,emby,tv.emby.embyatv
163,klowdtv,com.klowdtv.activity
164,bigstarlatino,firetv.bigstartv.bigstarlatino
165,jaggedentertainmen,firetv.bigstartv.jagged
166,mormon channel videos,com.amazon.rialto.cordova.webapp.webapp27b622d1a34a4f3c896c44a4848ce4f7
167,christiancinema,com.christiancinema.christiancinema
168,living scriptures,com.example.admin.newliving
169,movie and tv trailers,com.amazon.rialto.cordova.webapp.webapp032115eb7d8643ac8df1facb05ae1783
170,viewster,com.viewster.androidapp
171,slingplayer,com.slingmedia.slingPlayerFireTV
172,lego tv,com.lego.legotv.tv
173,4k nature relax tv,xyz.gameoff.relaxation
174,artofseduction,firetv.bigstartv.seduction
175,popular science,com.amazon.rialto.cordova.webapp.webapp247b2a37a66944ccac00f6942f72efb8
176,ewtn,com.ewtn.truthandlife.amazon
177,pongalo novelaclub,com.pongalonovelaclub.aftv
178,great movie classics,com.amazon.rialto.webapp.Ab0a63f416574924c1b812c18b52138f9fe8879cd
179,hidive,com.twentyfouri.tvbridge.sentai
180,vivoplay,com.smartboxtv.firetv
181,traceplay,com.traceplay.tv.amazon
182,jellytelly,com.jellytelly
183,fibe tv,ca.bell.tv.firetv
184,filmrise horror,com.future.filmrisehorror
185,bingehorror,com.amazon.rialto.cordova.webapp.webappba4ad1febb4e44a2b8630919801e3132
186,instatv,com.keyitech.instatv.pro
187,filmrise thriller,com.future.filmrisethriller
188,lyca tv pro,co.appmastery.lycatvpro
189,timeline,com.littledot.timeline
190,conspiracy channel plus edition,com.amazon.android.calypso
191,ahc go,com.discovery.firetv.ahcgo
192,cinehome,com.cinesoft.cinehome.androidtv
193,waypoint tv,com.waypointtv
194,hunt channel,com.amazon.rialto.cordova.webapp.webapp7e2fd0e7f3a34ea9a8a559454b8eae86
195,avava,com.amazon.rialto.cordova.webapp.webappe080bcc769894809a0da2f47198146a7
196,shemaroome,com.firestick.shemaroome
197,tablo,com.nuvyyo.TabloCordova
198,maury show,com.amazon.rialto.cordova.webapp.webapp3ac7b7428712481ea2041eae3b1c76f0
199,bumblebee tv,com.amazon.rialto.cordova.webapp.webappee032cd68c624a5180bfb3fd111c1cf1
200,filmrise action,com.future.filmriseaction
201,fuse,com.twentyfouri.tvbridge.fuse
202,bollywoodmovies,firetv.bigstartv.bollywood
